Variable,Statistic,DF,p_value,Expected_Min,Expected_Max,CramersV
GenHlth,32595.18369432834,4,0,7775.801687164932,31460.909807631662,0.4139071896496718
HighBP,27182.14718046478,1,0,41369.644150110376,53764.644150110376,0.37799000386344767
BinnedBMI,18483.138255509064,5,0,1015.1477294228949,32671.82972248502,0.3116837137040663
Age,16201.820254949975,12,0,1375.522674235257,14420.000473036896,0.29181536737342745
HighChol,15433.432237464103,1,0,44893.42134973194,50238.42134973194,0.2848220234015779
DiffWalk,14177.081945444716,1,0,24191.105345316933,70955.10534531693,0.27298505955712454
Income,10471.354500800151,7,0,4803.833002207505,27664.59334594765,0.23459982568828247
PhysHlth,10070.404943144575,30,0,8.497051403342795,53746.13773257648,0.23006455868370568
HeartDiseaseorAttack,8308.612513611353,1,0,14101.606543677073,81051.60654367707,0.20898794786666156
Education,6012.351099710087,5,0,77.47311573636077,35186.20163986124,0.1777658855894969
PhysActivity,4667.167612726369,1,0,28074.257836644592,67069.2578366446,0.15663359027479806
Stroke,3088.2363933758497,1,0,6067.394528539893,89091.3945285399,0.12742505341895388
CholCheck,2406.0840580348436,1,0,2310.698155156102,92850.6981551561,0.11248988164579725
MentHlth,2037.958545926261,30,0,8.996877956480606,64606.40378429517,0.10349608615954038
HvyAlcoholConsump,1615.0858636853688,1,0,3932.6353200883004,91227.6353200883,0.09216127491866408
Smoker,1455.6010146122255,1,1.73931e-318,45045.86844843898,50085.86844843898,0.08747817051110948
Veggies,1144.100827423747,1,8.589959128130901e-251,20112.020845159255,75037.02084515926,0.07755869271124309
Fruits,603.4556151161521,1,2.966052364355719e-133,36554.3151371807,58583.3151371807,0.05632902474651697
Sex,363.56040522257996,1,4.724179648591895e-81,43475.91324503311,51656.91324503311,0.043723946300379554
NoDocbcCost,346.93507250083877,1,1.9705128305537162e-77,8839.932418795333,86316.93241879533,0.04272031126036066
AnyHealthcare,110.5003047512955,1,7.613370304139649e-26,4293.5100914538,90866.5100914538,0.024124811812132618
