Variable,Information_Gain
GenHlth,0.09114530702578705
HighBP,0.07338795980193136
BinnedBMI,0.05018197120956369
Age,0.04556957603937972
HighChol,0.041136750223038865
DiffWalk,0.03840962888302557
Income,0.02796684516632819
PhysHlth,0.02706172995354761
HeartDiseaseorAttack,0.022707772158780948
Education,0.015999693969106277
PhysActivity,0.01235929187009277
Stroke,0.008452564510260885
CholCheck,0.007000724137238845
MentHlth,0.005417991380419096
HvyAlcoholConsump,0.0043927269958476955
Smoker,0.003831156627297716
Veggies,0.0030167144716430894
Fruits,0.0015875000172833609
Sex,9.562039085428964e-4
NoDocbcCost,9.149638334551291e-4
AnyHealthcare,2.915833581066396e-4
